price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
109000.0,female,automatic,steel,switzerland,192.0,5.0,silver,stainless_steel,57.0,100.0,30.0,2
19790.0,male,quartz,steel,switzerland,171.0,2.0,white,stainless_steel,160.0,100.0,40.0,1
21590.0,female,quartz,steel,switzerland,171.0,2.0,mother_of_pearl,crocodile,160.0,50.0,21.8,1
301600.0,male,automatic,steel,switzerland,140.0,2.0,green,stainless_steel,19.0,200.0,40.0,3
131200.0,female,automatic,steel,switzerland,194.0,8.0,white,crocodile,16.0,50.0,34.0,2
337600.0,male,automatic,steel,switzerland,176.0,5.0,black,stainless_steel,59.0,50.0,41.0,4
239200.0,male,automatic,steel,switzerland,194.0,2.0,black,leather,16.0,50.0,48.0,2
424900.0,male,automatic,steel,switzerland,176.0,5.0,blue,stainless_steel,59.0,300.0,42.0,4
211000.0,male,automatic,titanium,switzerland,192.0,5.0,anthracite,titanium,36.0,100.0,39.0,2
77700.0,female,quartz,steel,switzerland,194.0,2.0,blue,stainless_steel,45.0,50.0,36.0,2
18290.0,female,quartz,steel,switzerland,171.0,2.0,red,crocodile,160.0,50.0,21.8,1
1190800.0,male,manual,ceramic,switzerland,44.0,2.0,skeleton,rubber,43.0,100.0,45.0,4
401600.0,male,manual,steel,switzerland,176.0,5.0,blue,stainless_steel,25.0,50.0,40.0,4
55770.0,female,automatic,gold,switzerland,171.0,3.0,silver,steel_gold,160.0,100.0,30.0,1
139000.0,male,automatic,steel,switzerland,192.0,5.0,black,stainless_steel,36.0,100.0,39.0,2
425900.0,male,automatic,steel,italy,164.0,8.0,blue,leather,37.0,50.0,44.0,4
525200.0,male,automatic,steel,switzerland,178.0,5.0,white,rubber,5.0,50.0,42.0,5
301600.0,male,automatic,steel,switzerland,140.0,2.0,white,stainless_steel,19.0,200.0,40.0,3
95000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,49.0,300.0,41.0,2
50970.0,female,automatic,steel,switzerland,171.0,3.0,blue,stainless_steel,160.0,100.0,30.0,1
131200.0,female,automatic,steel,switzerland,194.0,8.0,blue,crocodile,16.0,50.0,34.0,2
325900.0,male,automatic,steel,switzerland,176.0,5.0,blue,rubber,59.0,50.0,41.0,4
331700.0,male,automatic,steel,switzerland,176.0,5.0,black,stainless_steel,59.0,300.0,42.0,4
25190.0,female,quartz,steel,switzerland,171.0,3.0,silver,stainless_steel,97.0,100.0,34.0,1
473800.0,male,automatic,titanium,italy,164.0,8.0,green,calfskin,37.0,300.0,44.0,4
449000.0,male,automatic,gold,italy,140.0,5.0,white,stainless_steel,16.0,100.0,41.0,4
272800.0,male,manual,steel,italy,164.0,8.0,black,calfskin,37.0,100.0,44.0,4
